2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
Jets/Colts,ESPN,8.1,-12%,12.5M,-16%,2,,,,,,,,,,,,,,,,,,
Bears/Seahawks (76%),CBS,12.9,-18%,22.1M,-19%,3,,,,,,,,,,,,,,,,,,
Broncos/Lions,NBC,13.1,10%,22.1M,11%,3,,,,,,,,,,,,,,,,,,
Falcons/Cowboys (46%),FOX,?,?,18.3M,-11%,3,,,,,,,,,,,,,,,,,,
Wash./Giants,"CBS, NFLN",10.5,40%,16.9M,42%,3,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.1M,4%,3,,,,,,,,,,,,,,,,,,
Chiefs/Packers,ESPN,8.3,-1%,13.5M,2%,3,,,,,,,,,,,,,,,,,,
Packers/49ers (57%),FOX,15,even,25.9M,even,4,,,,,,,,,,,,,,,,,,
Cowboys/Saints,NBC,14.1,4%,24.2M,5%,4,,,,,,,,,,,,,,,,,,
Ravens/Steelers,"CBS, NFLN",11.8,16%,19.4M,19%,4,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.8M,34%,4,,,,,,,,,,,,,,,,,,
Lions/Seahawks,ESPN,9,2%,14.4M,even,4,,,,,,,,,,,,,,,,,,
Giants/Bills (68%),FOX,?,?,12.8M,-15%,4,,,,,,,,,,,,,,,,,,
Jets/Dolphins,CBS,?,?,9.9M,no gm.,4,,,,,,,,,,,,,,,,,,
Patriots/Cowboys (81%),CBS,15.2,32%,26.1M,33%,5,,,,,,,,,,,,,,,,,,
49ers/Giants,NBC,11.8,1%,19.6M,1%,5,,,,,,,,,,,,,,,,,,
Seahawks/Bengals (39%),FOX,?,?,18.0M,-7%,5,,,,,,,,,,,,,,,,,,
Colts/Texans,"CBS, NFLN",9.5,-3%,15.1M,-9%,5,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,13.6M,-7%,5,,,,,,,,,,,,,,,,,,
Steelers/Chargers,ESPN,7.7,-6%,12.2M,-7%,5,,,,,,,,,,,,,,,,,,
Chargers/Packers (81%),CBS,14.5,-17%,25.0M,-17%,6,,,,,,,,,,,,,,,,,,
Patriots/Colts,NBC,13.1,21%,22.8M,26%,6,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.9,14%,18.3M,14%,6,,,,,,,,,,,,,,,,,,
Panthers/Seahawks (38%),FOX,10.6,13%,17.9M,16%,6,,,,,,,,,,,,,,,,,,
Falcons/Saints,"CBS, NFLN",9.3,-7%,14.8M,-7%,6,,,,,,,,,,,,,,,,,,
Giants/Eagles,ESPN,8.7,10%,13.9M,9%,6,,,,,,,,,,,,,,,,,,
Cowboys/Giants,FOX,14.4,-8%,24.5M,-9%,7,,,,,,,,,,,,,,,,,,
Eagles/Panthers,NBC,12.2,-12%,20.6M,-13%,7,,,,,,,,,,,,,,,,,,
